brand|name_perfume|family|subfamily|fragrances|ingredients|origin|gender|years|description|image_name
Ajmal|Evoke Gold Edition For Her|FLORAL|FRUITY|Floral Fresher Fruity|['Peony', 'Apple', 'Vanilla', 'Lily Of The Valley', 'Musk', 'Pink Pepper', 'Tonka Bean', 'Blackcurrant Bud']|United Arab Emirates|Female|2018|Fantasia encapsulated in gold, evoke is designed to attract the outgoing and adventurous young woman.|aeid1z0agijxlkg7bh4rsshdv34pqbbr9kjouwwqyee32hoh2g9ubzcejzei-w500-q85.jpg
Maison De Fouzdar|Élixir Extrême|FLORAL|FLORAL|Floral Classical Rose|['Rose (Turkey)', 'Oud / Agarwood', 'Vanilla (Madagascar)', 'Violet', 'Rose (Bulgaria)']||Unisex|2021|This fragrance is opulence personified, reminiscent of nature’s profound beauty.|ioxzyj664l9wc2gql6uaue27mohf45o0eo6ws383xh894bnkvffswvmumrem-w500-q85.jpg
Courrèges|C|FLORAL|MUSK SKIN|Soft Floral Fresher White Flower|['Jasmine', 'Ambrox (Ambergris)']|France|Unisex|2021|"C is Courrèges's initial as well as an element of the House's iconic logo, ""AC"". The letter is strikingly curvy and simple. It's the symbol of a universal fragrance and expresses the indulgent purity of clean laundry, energised by textured jasmine."|abz2sb440ssa0zkyg3ugjosb99mtzc682qjc8lw8v86b71mltelmzjozjpi0-w500-q85.jpg
Les Eaux Primordiales|Ambre Superfluide|AMBERY (ORIENTAL)|FRUITY|Amber Crisp Fruity|['Amber', 'Apple', 'Cardamom', 'Benzoin', 'Vanilla', 'Bergamot', 'Cinnamon', 'Rum', 'Rose', 'Tobacco Accord']|France|Unisex|2020|This comforting scent evokes a long winter’s day spent by the fire. As we wrap ourselves in this perfume as if snuggling into a velvet armchair, we wish for time to a standstill.|fj9waot1u1stro1kl6wzrjdlw17w3n8xdoh0n2lmr9cgpj4yve6hgxfssm0g-w500-q85.jpg
Penhaligon'S|Equinox Bloom|FLORAL|AMBERY (ORIENTAL)|Floral Amber Fresher Gourmand|['Jasmine (Sambac)', 'Orange Blossom', 'Benzoin', 'Neroli', 'Violet Leaves', 'Ambrox (Ambergris)']|United Kingdom|Female|2016|Equinox Bloom is inspired by the moment when day and night are of equal length. A magical moment that marks the end of the winter and the beginning of the Spring. A scent that captures all the wild sweetness of the first flowers of Spring. A blossom that only happens once a year.|yb629jfsxbglk9drcv7ob5qmhoiuydcognznz8pyskmapv9g65ks4htm0ot8-w500-q85.jpg
Hermetica|Ivyme|FLORAL|GREEN|Green Classical|['Ivy', 'Rose', 'Musk']|France|Unisex|2020|“In this perfume, I wanted to play on this very green colour of ivy. It is an extremely stubborn and invasive plant. Hence the power of Ivyme perfume, this green is harmonised by the essence rose and musks,” Alienor Massenet, Perfumer.|uklfn8vtye82ylds2b2e8v2ktx2fej0jyu9zqmw7ank7tdfoi6x5y8tesfpa-w500-q85.jpg
O Boticário|Botica 214 Wood & Vetiver|WOODY|WOODY|Woods Classical|['Vetiver (Haiti)', 'Woody Notes']|Brazil|Male|2020|Botica 214 Wood & Vetiver celebrates the sophistication of the Chypre family. An intense and enveloping fragrance that contrasts fresh notes with the signature of Haitian Vetiver and Dark Woods.|emxeoflkjgfst69u500ftl3omqmccxwx9z8pv5mw9mrorybxtacp5hhz54kt-w500-q85.jpg
Jovan|Jovan Musk Oil|FLORAL|MUSK SKIN|Soft Floral Crisp Musk|['Musk', 'Ylang-ylang', 'Peach', 'Bergamot', 'Lavender', 'Patchouli', 'Star Anise', 'Vanilla']||Female|2015|Jovan's Eau de Parfum Musk Oil For Women is a feminine fragrance that combines sensuality and passion. The fresh and fruity top note, with the distinctive notes of star anise, brings an extravagant touch, and transitions smoothly into the heart note, where the floral scent and the soft musky base blend perfectly.|1kuzsxvi5ej14rssg9542yfeuq4qj5xiqb7hktmwbjdj0u39m5vo12zclj20-w500-q85.jpg
Lalique|Electrum|FLORAL|FRUITY|Floral Fresher Fruity|['Jasmine', 'Amber', 'Patchouli', 'Freesia', 'Rose', 'Pear', 'Bergamot', 'Musk', 'Sandalwood', 'Vetiver (Haiti)']|France|Unisex|2015|"Known in the ancient world as ""white gold"", this naturally occurring alloy of gold and silver was used as far back as Paranonic Egypt to fashion jewels and coins. A marriage of sun and moon, hot and cool, yin and yang. Electrum is conjured by combining delicately feminine and more assertive notes."|a3x713dyczmy8z6ow7p7wlkub1db7f7hehieopflwn5mzena0321qqy5n93l-w500-q85.jpg
Acqua Di Parma|Ginepro Di Sardegna|WOODY|FRUITY|Woods Fresher Fruity|['Cedarwood (Virginia)', 'Nutmeg', 'Juniper Berries', 'Clary Sage', 'Black Pepper']|Italy|Unisex|2014|Dynamic and energising, Ginepro di Sardegna from Acqua di Parma opens with fresh accents, that evolve into an aromatic heart. The fragrance closes with elegant woody notes.|zp444wkfm8xs1kk53fhyavrn7a5jrf6h8ags3fdh7axvkpix1sd6b8b6646r-w500-q85.jpg
Nobile 1942|Petali E Spade|FLORAL|AMBERY (ORIENTAL)|Floral Amber Crisp Citrus|['Jasmine', 'Amber', 'Bergamot', 'Tea', 'Magnolia', 'Osmanthus', 'Aldehyde', 'Myrrh', 'Peach', 'Vanilla', 'Musk', 'Sandalwood']||Unisex|2022|Petali e Spade is dedicated to fragility, not as a synonym of weakness, but as the true inner strength of each one of us.|f3284x1i2gqjv9ine3poa9t3ogts2qd9n634ajasgzagyd0uel5qk3y8ucas-w500-q85.jpg
Avon|Imari Ariane|FLORAL|FRUITY|Floral Crisp Fruity|['Fruity Notes', 'Jasmine', 'Sandalwood', 'Hyacinth', 'Aldehyde', 'Citruses', 'Musk', 'Vetiver']|United States of America|Female|2020|A timeless romance begins with a spray.|q3g9vbkvujos0978gw3wxgteoyqs6loth486axe9m9q0lrd5qbxhjxchhosm-w500-q85.jpg
Avon|Far Away Infinity|FLORAL|AMBERY (ORIENTAL)|Floral Amber Fresher White Flower|['Gardenia', 'Vanilla (Madagascar)', 'Jasmine', 'Jasmine (Sambac)', 'Orange Blossom (Morocco)', 'Bergamot', 'Sandalwood', 'Patchouli (Indonesia)']|United States of America|Female|2016|The epitome of dignified femininity and the ultimate sign of beauty, Far Away Infinity is sculpted with the highest quality of ingredients available in a perfumers palette. A lustrous veil envelopes the skin for a sleek, polished sensuality, evoking an aura of sensual mystery that lingers effortlessly, uncovering an irresistible addiction.|spimzmd20hj1pi5fze6f96wfiu1guouq2flh688jkotbttoqb3t55via0slp-w500-q85.jpg
Atelier Rebul|Jardin Imperial|FLORAL|FRUITY|Floral Fresher Fruity|['Peony', 'Peach', 'Cedarwood', 'Freesia', 'Jasmine', 'Tuberose', 'Violet', 'Musk', 'Neroli', 'Sandalwood']|Türkiye|Female|2017|Be transported to an enchanting world of floral splendor and irresistible allure with Jardin Imperial, a fragrance that will not leave you indifferent.|prkfbd6xkfxcb0et00annw7fz8ybxi86qxqo9w85e0v0w2ep0hdir4ilgoyn-w500-q85.jpg
Curve|Curve Crush For Men|AROMATIC FOUGERE|FRUITY|Aromatic Fougère Fresher Fruity|['Lavender', 'Pear', 'Oakmoss', 'Clary Sage', 'Aldehyde', 'Bergamot', 'Cardamom', 'Coriander', 'Ginger', 'Musk', 'Vetiver', 'Violet Leaves']|United States of America|Male|2004|"Curve Crush is impulsive! It's an overwhelming sensation that makes your heart pound with abandon. It's the feeling you get when you see a gorgeous girl and fall in love, unexpectedly until the next ""crush"" crosses your path. It's an adventure that's unplanned, but a journey you definitely want to take. It's living life like there's no tomorrow, just right now. It is filled with an intense fantasy of what could be, not what if."|cxz538ksx4enoyftst73al3m8a4gbvmkeujt3335jgu6p2kqrsc2flw0z4gs-w500-q85.jpg
Chris Adams|Chess|WOODY|AMBERY (ORIENTAL)|Woody Amber Classical|['Carnation', 'Leather', 'Saffron', 'Ambergris', 'Cedarwood', 'Sandalwood', 'Gardenia', 'Geranium', 'Iris / Orris', 'Jasmine', 'Lily Of The Valley', 'Orchid', 'Rose', 'Tonka Bean', 'Vanilla', 'Ylang-ylang', 'Apple', 'Bergamot', 'Green Notes', 'Lemon', 'Lime', 'Mandarin', 'Marine', 'Musk', 'Patchouli', 'Pineapple', 'Plum', 'Raspberry', 'Strawberry', 'Black Pepper']|United Kingdom|Male|2019|This fragrance is inspired by the infinite possibilities of the chessboard, sparking off a battle of the minds, and celebrating conquest in the purest essence.|966930fxxk7httcme5e6idb9ckwzyuff3mt8trln1v8nx4y6logvn942g5w5-w500-q85.jpg
Nolença|Rosca Ametlla|FLORAL|AMBERY (ORIENTAL)|Floral Amber Fresher Citrus|['Orange Blossom', 'Tonka Bean', 'Vanilla', 'Cinnamon', 'Lemon', 'Petitgrain', 'Star Anise']|France|Unisex|2019|It all started with a rousquille and a particular taste that reminds us of childhood that takes us back to Catalonia. It also evokes the Spanish woman filmed by Almodovar. A woman so strong, full of character, who lifts mountains, yet sensitive, emotional and caring.|ynhma6r80xsslqtiroltbkw22x4l0htijh8u4yjkyxrwtj144amstpl9vtk7-w500-q85.jpg
Le Couvent|Anori|FLORAL|WATERY|Floral Fresher Water|['Magnolia', 'Cardamom', 'Cedarwood (America)']|France|Unisex|2020|"“Anori is an intense thrill. The expression of the northern winds. I imagined a bouquet of frost flowers and salt flowers braided with a spray ribbon,"" Jean-Claude Ellena."|85wnxwqg814rp3aqg9u9itfpecylexnpe8jbi811jikh0ciugkvf6h44n7h8-w500-q85.jpg
Atkinsons London 1799|24 Old Bond Street X Christopher Jenner|WOODY|GREEN|Woods Fresher Green|['Woody Notes', 'Juniper Berries', 'Rose']|United Kingdom|Unisex|2016|An annual Rendez-vous with England's new generation of artists and designers on Atkinsons Emblematic English Cologne. The limited edition design explores the origins of the brand established in 1799. Through an atypical expression of Georgian England, Christopher Jenner revisits Atkinsons heritage and values of artistry and eccentricity.|flh4p365r193to5np2fk2vszum67qf3qpr4qgjdri4jjnpu70uaw5kkpgx1k-w500-q85.jpg
Police|Police Miss Bouquet|CHYPRE|FRUITY|Mossy Woods Crisp Fruity|['Patchouli', 'Night Blooming Jasmine', 'Bergamot', 'Musk', 'Rose', 'Vanilla']||Female|2022|Police Miss Bouquet is the essence of a free and daring woman. A fragrance with a strong character, lively, voluptuous and fresh.|uq4yzlprh7qer7nuqne41dn04a03sxhu3zd8s3u4s2o2g5iqpne5gkeluwqu-w500-q85.jpg
Sober|Mahé|FLORAL|FLORAL|Floral Crisp Gourmand|['Jasmine', 'Pear', 'Iris / Orris', 'Vanilla', 'Tonka Bean']|Germany|Unisex|2023|This fragrance pays homage to the numerous stories of brilliant sunsets, crystal clear waters and exotic flora, with its harmonious composition, exquisite notes and elegant depth. It's as if the scent itself dances in the ocean currents.|b1axff04dfj8grkandwsnfh91r7m79ujaivtlv6uxjcpw686fkgk7zrf50ko-w500-q85.jpg
Comme Des Garçons|"You'Re In In Fifteen Minutes..."""""|CITRUS|CITRUS|Citrus Classical|['Bitter Orange', 'Cashmeran (Woody musky)', 'Lime', 'Coriander', 'Jasmine', 'Aldehyde', 'Amber', 'Musk']|Japan|Unisex|2017|This fragrance was inspired by the original scent Warhol used for an artwork in 1967. The scandalous original scent consisted of Coke bottles spray painted silver and filled with a citrus perfume. It triggered a cease and desist letter from Coca-Cola, resulting in the project being abandoned. Staying rather clear of Coke bottles, the reintroduction of this blend comes in six unique matte silver industrial bottles, each featuring a different whimsical quote by Andy Warhol.|wxlnuwz1tx1t0it6kzh6weyrg184w17ohnuyh4j4ffakauy82ufzf8fv4h5g-w500-q85.jpg
Moresque|Ballerina|FLORAL|ALDEHYDIC|Soft Floral Classical|['Cotton Candy', 'Musk', 'Peach', 'Rose (Taif)', 'Ylang-ylang', 'Iris (Florentine/Tuscany)', 'Angelica', 'Amber', 'Ginger', 'Incense / Olibanum', 'Tangerine', 'Tonka Bean', 'Vanilla', 'Ambrette Seed']|Italy|Female|2020|Poised, she waits for the signal of the orchestra to make her entrance. Something indescribable fills her body and she takes flight. Under the moon, satin and tulle merge with her skin, and the ethereal White Swan dances on the shore of the lake. Pure seduction, the Ballerina soars lightly off the stage of The Bolshoi.|v7unu86nkoyej9nnfc57ss4xeyemkoof6kdp38qt08pvma3gmngf6sms0uql-w500-q85.jpg
Xerjoff|1986|FLORAL|AMBERY (ORIENTAL)|Floral Amber Fresher Citrus|['Orange Blossom', 'Cardamom', 'Mandarin', 'Green Tea']|Italy|Unisex|2020|With X 1986, you can support the mission of the Piedmontese Foundation for Cancer Research, established in 1986, to make a significant contribution to the defeat of this disease.|v4d69bvojnel8jes8a8dcnhke284vkxnh8f0da4mi0ra8xu9qkn82i8i900n-w500-q85.jpg
Clinique|Happy To Be|FLORAL|MUSK SKIN|Soft Floral Fresher Water|['Pear', 'Rose (Bulgaria)', 'Cocoa', 'Citruses', 'Sandalwood']|United States of America|Female|2004|Clinique Happy To Be. Dewy, shimmering, spontaneous. A different kind of floral. Notes of watery citrus, crisp pear, elements of hibiscus and syringa flower. Whimsy comfort. Liking who you are, where you are…happy to be.|68oblh1sy0vjow7m762tismpyx9255og2hogzd43sk8mhx99v15ov4egcjl8-w500-q85.jpg
Sterling By Sterling|Sept|FLORAL|CITRUS|Floral Crisp Citrus|['Bergamot', 'Jasmine', 'Cedarwood', 'Freesia', 'Lemon', 'Lily Of The Valley', 'Lime', 'Melon', 'Pear', 'Pineapple', 'Pink Pepper', 'Plum', 'Black Pepper', 'Ambergris', 'Leather', 'Musk', 'Oakmoss', 'Patchouli']|United Arab Emirates|Unisex|2022|Feel invigorated with this fresh zesty blend of citruses and spices layered on a radiant floral heart and a suave base.|kuwd87t2l9cav2tcaw6utjz5j2fi2x9rabt674xcgjdjh6zte96ubm36t0vt-w500-q85.jpg
Charrier Parfums|Lavande|AROMATIC FOUGERE|AROMATIC FOUGERE|Aromatic Fougère Classical|['Lavender (Provence)', 'Musk', 'Clary Sage', 'Coriander', 'Lemon', 'Orange Blossom', 'Vanilla']|France|Female|2018|Lavande, typical flower of Provence, which inspired the greatest painters.|vo5a5xkmwfia89zhebuemogi2r66ypajxwt1kepbfc7onzunflz2wleg8jar-w500-q85.jpg
Vera Wang|Lovestruck|FLORAL|FRUITY|Floral Fresher Fruity|['Tuberose', 'Angelica', 'Lotus', 'Jasmine (Sambac)', 'Mandarin', 'Musk', 'Vanilla', 'Woody Notes']|United States of America|Female|2011|"""Lovestruck is about the emotion and rush you feel when you are falling in love and going for it. Those heart pounding moments of spontaneity."" - Vera Wang"|gr8f11ogj4kp6apqfusp0gtjx4dnmqhfjgd2rhj4wgxo08u0n6aop15nv5vo-w500-q85.jpg
Les Petits Plaisirs|Vanille & Ambre|AMBERY (ORIENTAL)|FLORAL|Soft Amber Classical|['Amber', 'Vanilla (Madagascar)', 'Tonka Bean', 'Musk', 'Bitter Orange']||Unisex|2018|The 90% natural Vanilla & Amber eau de parfum will make you discover the warm and refined lands of Madagascar. Its irresistible and ambery notes of Bitter Orange, Tonka and Red Sugar blended with the sweetness of Vanilla and Musks will bring you sweetness and indulgence.|1bdp3sf9yuj70fbsw21z1x2vq3upr11i215j7cgpri6hz6o8wuxf489dnfah-w500-q85.jpg
Clean|Clean Fresh Laundry|FLORAL|MUSK SKIN|Soft Floral Fresher Green|['Night Blooming Jasmine', 'Musk', 'Heliotrope', 'Rose (Turkey)', 'Fresh Cut Grass', 'Lime', 'Woody Notes']|United States of America|Unisex|2004|Warm from the dryer, fluffy towel fresh and clean. As familiar as your favorite just washed t-shirt. An irresistible just laundered new scent from Clean.|tqkhq7viesl47i88tlj9c2y4bs6dgkn488guhzki5c65u37aquifv6sw1sfz-w500-q85.jpg
Blend Oud|Santal Pondicherry|WOODY|WOODY|Woods Classical|['Sandalwood', 'Saffron', 'Citruses', 'Cedarwood', 'Cardamom', 'Amber', 'Incense / Olibanum', 'Vanilla']|Italy|Unisex|2019|Memories of a journey to India, to Pondicherry, a cosmopolitan and fascinating city with a double soul. A holiday spot on the Gulf of Bengal, bohemian and jet-set, it is also a centre of great spirituality.|bou8r31xgbmd59zrxpjmfzksdr5lflzc4oesgz41m96kpk2nx4j56rwcym4f-w500-q85.jpg
Olfactive Studio|Vanilla Shot|FLORAL|AMBERY (ORIENTAL)|Floral Amber Fresher Fruity|['Vanilla', 'Myrrh', 'Saffron', 'Rose (Turkey)', 'Benzoin', 'Opoponax', 'Aldehyde', 'Caramel', 'Coriander']|France|Unisex|2018|Deeply exotic and sensual, Vanilla Shot takes a very unusual route towards the dark vanilla bean in the base. The vanilla purrs like a Persian kitten.|bsjwrb20z1ki9i7j193tkjhizdv18uid93iozyymx9v84h0u2fwfrg92w5c9-w500-q85.jpg
Sooud|Jamil|WOODY|AMBERY (ORIENTAL)|Woody Amber Classical|['Iris / Orris', 'Clove', 'Patchouli']|France|Female|2016|Jamil takes its name from the Arabic poet Ma'mar, born around 660 and leading exponent of udhrita love poetry. The poet's epic, and the story of his love for Buthayna, form the basis of the olfactory intuition of Jamil, an intense and melancholy fragrance.|hvbt8i8x2j6d9d5pvm86krhv8y4mdttsk0vqrmpnssi2moed8i1kj5gdc7c8-w500-q85.jpg
Escada|Desire Me|FLORAL|AMBERY (ORIENTAL)|Floral Amber Classical Gourmand|['Peony', 'Citruses', 'Green Notes', 'Coffee', 'Mandarin']|Germany|Female|2009|A unique seductress arrives - Escada Desire Me. The fragrance aims at a modern young woman who enjoys being the centre of attention, is aware of her qualities and knows she is the object of many men's affection. Her charisma, charm and scent leave an unforgettable impression.|xyba16u8lloxox5mccccl6pagmtsd7okhuc8y9q4w7pzms8wf8qp5s4gbxmo-w500-q85.jpg
Zeromolecole|Clori|FLORAL|FLORAL|Floral Fresher White Flower|['Lily Of The Valley', 'Musk', 'Heliotrope', 'Mimosa']|Italy|Unisex|2019|Clori, nymph from Greek mythology, kidnapped by Zefiro. Then turns into Flora, the goddess of flowers. An elegant jubilation of white flowers covers the delicate note of heliotrope and the water lily.|tg62t4emnu84z63brjwo458ng20f1bp6ykhk886dqqeobdclr85tc04ues5h-w500-q85.jpg
Pascal Morabito|Bois & Vetiver|WOODY|WOODY|Woods Classical|['Vetiver (Java)', 'Geranium (Egypt)', 'Bergamot', 'Cedarwood (Virginia)', 'Jasmine', 'Cardamom', 'Musk', 'Patchouli']||Male|2014|It invites you into the world of mystery with the sensual warmth of earthy woods.|z5hy9pzio4854i9obdteps9xurnyns7d5h4tbc95do5l5jknxwkb2fd6d5s1-w500-q85.jpg
Victorio & Lucchino|Nº 11 Ámbar Enigmático|CHYPRE|AMBERY (ORIENTAL)|Mossy Woods Fresher Citrus|['Amber', 'Rose', 'Patchouli', 'Pink Pepper', 'Musk', 'Bergamot', 'Gardenia', 'Ambrette Seed', 'Jasmine (India)']|Spain|Female|2018|The sublime femininity of the Bulgarian rose, gathered by hand in the sunrises, enhances an exquisite chord of white flowers. An elegant chord that contrasts with ambrated and sensual notes of the patchouli of Singapore distilled by hand.|rf7v4ttcp5cchrw363rppjqnyftq8sx6f3afuq2bdknmu2hqe3p92oc0f9ep-w500-q85.jpg
Les Parfums De Rosine|Écume De Rose|FLORAL|WATERY|Floral Crisp Water|['Rose', 'Lily', 'Musk', 'Ambergris', 'Artemisia', 'Vetiver']|France|Female|2002|She is natural, romantic, and savage. Her world is a dune in the north, a love walk on a summer afternoon by the Veneto lagoon.|2kswg97tdcm5uoggur6g9vzqyqjq12b6et6p89agi6orhm9y7747jgoowhq8-w500-q85.jpg
Caron|Aimez-Moi|FLORAL|MUSK SKIN|Soft Floral Richer Bouquet|['Violet', 'Mint', 'Star Anise', 'Iris / Orris', 'Magnolia', 'Rose', 'Bergamot', 'Cardamom', 'Peach']|France|Female|2021|Love me, the cry of a woman in love. A message in a bottle, a nod to the iconic N’Aimez que Moi.|wvrj2cza8ulrochgx1zkce0s4uk1uizqgmcsirofpu82i6g75wg9b9tnatug-w500-q85.jpg
One8|One8Intense|AMBERY (ORIENTAL)|CITRUS|Amber Fresher|['Cedarwood', 'Cinnamon', 'Orange Blossom', 'Amber', 'Vanilla', 'Mandarin', 'Apple', 'Cardamom', 'Clove', 'Jasmine', 'Musk', 'Nutmeg', 'Thyme']|India|Male|2018|One8 Pure is a seamless fusion of woods, fruits, and spices in a scent that is pure at heart. The fragrance is meant to evoke a serene ambiance that becomes a synonym for purity.|qzxc94wugudv7r4c6j5ztr9lxkael1q1epm1ger5kf3aiz6rixyep2skh17v-w500-q85.jpg
Akro|Smoke|LEATHER|TOBACCO|Dry Woods Classical|['Tobacco Leaf', 'Benzoin', 'Tonka Bean']|France|Unisex|2018|Smoke is inspired by the pleasure of the first drag of a cigarette, which is consumed as quickly as it is born.|hzx25qyzx8pfi572ygz6i4pqfhl7zxu3npwru05md9oxqc30n7demo5npqsc-w500-q85.jpg
Aedes De Venustas|Musc Encensé|FLORAL|MUSK SKIN|Soft Floral Richer Musk|['Incense / Olibanum', 'Musk', 'Tonka Bean', 'Cashmeran (Woody musky)', 'Clary Sage']|United States of America|Unisex|2018|The name is not just a play on the French 'encens' ( French for 'incense', and 'insensé', French for 'crazy'.) Encenser means both to scent with incense and to praise to the skies. Musc Encensé does exactly what it says on the bottle.|9cib1zg97dlfd6n84gy8g4jjpqd96s0kaufdmrk4n7fxgg6j8vb17qgacaa1-w500-q85.jpg
Bespoke London|Black Suede And Fougere Eau De Parfum|AROMATIC FOUGERE|AROMATIC FOUGERE|Aromatic Fougère Classical|['Fougère accord', 'Ciste Labdanum', 'Pineapple', 'Rosemary', 'Aromatic Notes', 'Amber', 'Citruses', 'Woody Notes']|United Kingdom|Male|2019|Make everyday effortless with Bespoke London’s Black Suede and Fougere.|s9vwz5maaes0sj95233okramgrmdlxpcelw12izezqr2ykxphn4vg2qm55o1-w500-q85.jpg
Demeter Fragrance Library|Clean Windows|FLORAL|WATERY|Soft Floral Fresher Water|['Musk', 'Rose', 'Ylang-ylang', 'Amber', 'Geranium', 'Lemon', 'Vetiver']|United States of America|Unisex|2007|Crisp and fresh as a new Spring day, our Clean Windows is bright, refreshing, and squeaky clean.|gxjpozqpoqcqrtsa5gbk0hc7c53rxtspea1wqjtk143ukhthzp6hjvmectzt-w500-q85.jpg
Springfield|Spf Urban Tribal For Him 2016|WOODY|CITRUS|Woods Fresher|['Cedarwood', 'Vetiver', 'Grapefruit', 'Amber', 'Elemi', 'Geranium', 'Incense / Olibanum', 'Green Apple']|Spain|Male|2016||79l24yzbu46fxxsrv3fzhs6hfjar0j9j9yfptv46vxdl8jof4v1dd63gujxk-w500-q85.jpg
Atelier Des Ors|Musc Immortel|FLORAL|MUSK SKIN|Soft Floral Classical Musk|['Musk', 'Everlasting Flower', 'Iris / Orris', 'Cypriol / Nagarmota', 'Patchouli', 'Ambrette Seed', 'Vetiver (Haiti)', 'Grapefruit', 'Clary Sage']|France|Unisex|2017|An addictive, intensely heartfelt, yet refined fragrance, Musc Immortel will hold you tightly in its embrace. Elegance. A rare nuanced form of beauty endures through time just as gold shines eternally.|28e0zvlkfzgjtm6ur68s7h9r9qtfc2kel45a5kqqw1jkyyj2yd2or7alt1nm-w500-q85.jpg
Xerjoff|Malesia|AMBERY (ORIENTAL)|FLORAL|Soft Amber Classical|['Tonka Bean', 'Lily Of The Valley', 'Amber', 'Ciste Labdanum', 'Vanilla', 'Sandalwood (India)', 'Oud / Agarwood', 'Musk']|Italy|Unisex|2017|Tiger's eyes, female claws, feline instinct, the call of the wild. At the Equator, where the heart is, the beat becomes the crossroads of dreams. From the cargo ships, in the harbour, barrels are unloaded in a balanced blend of scents that sets aglow all the garments of the sultanate.|70yqyx3oc25ua0hb2zv1tmwgwem4uaz7qs6wrxmod8kepi70lfzmhkt9xodn-w500-q85.jpg
Matea Nesek|Attitude|AROMATIC FOUGERE|AROMATIC FOUGERE|Aromatic Fougère Classical|['Clary Sage', 'Rosemary', 'Rose', 'Lavender', 'Palisander Rosewood', 'Bergamot', 'Lemon', 'Musk', 'Tonka Bean', 'Vanilla']|United Arab Emirates|Male|2015|Attitude is a daring and powerful fragrance for men. Created for men with attitude, who don't compromise, aim for perfection, and enjoy life to the fullest.|rfp79h7t3ybh13nnct36fh7b146r896whc8rvwzf6xogcqxka6tkfz71oivv-w500-q85.jpg
Kolmaz|Tonic 69|CITRUS|CITRUS|Citrus Classical|['Grapefruit', 'Pepper', 'Patchouli', 'Geranium', 'Benzoin', 'Cedarwood', 'Vetiver']|United Arab Emirates|Male|2015|Tonic 69 is a mysterious and enigmatic scent suitable for adventurous men with a dynamic personality.|myx6us2p0xn4nxru1eno2uvi6ycxmuyjbpgwzllnu0prw5rp8jg38mp1hfau-w500-q85.jpg
La Martina|Cuero|LEATHER|CITRUS|Dry Woods Fresher|['Leather', 'Bergamot', 'Tonka Bean', 'Lavender', 'Musk', 'Patchouli', 'Vanilla']|Argentina|Male|2022|An enveloping and reassuring scent with a soft and cocooning trail.|hh90q6xjdb9g0i6081mwk7f7h12jy2dduuula8fhj0kl3fos7xh9e7jm9xdp-w500-q85.jpg
Montale|Intense Tiaré|AMBERY (ORIENTAL)|FLORAL|Soft Amber Fresher White Flower|['Tiare', 'Vanilla', 'Jasmine', 'Rose', 'Ylang-ylang']|France|Unisex|2012|A delicious harmony of ingredients will transport you to the tropical delights of an exotic island holiday.|zvt77t0chwq0ca26mor98xa8u1jn85kcxgjgmwvshy5igikit1azd4vboex0-w500-q85.jpg
Avon|Aquavibe Ama|CITRUS|FRUITY|Fruity Fresher|['Pear', 'Strawberry', 'Amber']|United States of America|Female|2020|Aquavibe Ama starts with the freshness and sophistication of crispy fruit. The heart brings a delicacy to the scent, while sheer resins in the base add a surprising romantic elegance.|zfruhf8jgop8anxrhruopi3ofajhy2osnic8e0b0ugv9rekws850jxkajof9-w500-q85.jpg
Jardins D'Écrivains|Junky|CHYPRE|FLORAL|Mossy Woods Crisp White Flower|['Galbanum', 'Iris / Orris', 'Palisander Rosewood', 'Gardenia', 'Violet', 'Cashmeran (Woody musky)', 'Cedarwood', 'Incense / Olibanum', 'Myrrh', 'Vetiver (Java)']|France|Unisex|2014|William Burroughs was the Beat Generation's boldest writer. His work depicts the harsh realities of addiction and extreme experiences. Jardins d'Écrivains interprets Junky in the spirit of a unique and enigmatic fragrance.|bvov1xs44lun3h5r5z4vii19iwjfejjylb4nofid1bteoc3xtfgtncm7q7km-w500-q85.jpg
Lolita Lempicka|L'Eau En Blanc|WOODY|GOURMAND|Mossy Woods Fresher Gourmand|['Iris / Orris', 'Musk', 'Cherry', 'Heliotrope', 'Raspberry', 'Tonka Bean', 'Vetiver', 'Violet', 'Violet Leaves']|France|Female|2012|Lolita Lempicka offers women an encounter with a story of love and enchantment more – more romantic than ever. With Lolita Lemipca L'eau En Blanc, brings all women in love an Ode to Love, a new story that every girl dreams of being the heroine of one day…|y1hkto29mh55fj4uwk9l2gzru8wwmb8tsqrftzu1bt2qm23o7i56zdbvbayp-w500-q85.jpg
The Merchant Of Venice|Fenicia|CITRUS|CHYPRE|Citrus Richer|['Lemon', 'Myrrh', 'Sandalwood', 'Patchouli', 'Clove', 'Elemi', 'Rose', 'Saffron']|Italy|Female|2015|Fenicia is a mysterious fragrance. This fragrance mirrors the allure of the modern East.|ju2d0lsn0hr1ekvh1pfyp7n7jukq4nrk43ux2glg1kl987ge3hoh8mt5ih7v-w500-q85.jpg
Giorgio Armani|Light Di Gioia|FLORAL|CITRUS|Floral Fresher Citrus|['Jasmine', 'Bergamot', 'Gardenia', 'Musk', 'Ambrox (Ambergris)', 'Woody Notes']|Italy|Female|2019|Discover Light di Gioia, a transparent, luminous, and effortlessly feminine fragrance from Giorgio Armani. This fragrance captures the plenitude of the golden hour when the sun is still radiant, warm, and caressing.|o14nk2epathwjxxoarr2fkjb7j0vlyeuuh31yj1y4kuh8qs9hh3bc44d4aj0-w500-q85.jpg
